name,address,latitude,longitude,loc_rating,rating
COMPLETE HOST Fitzroy St Apartments,"163 Fitzroy St, 3182 Melbourne, Australia",-37.8588437,144.9798363,9.5,9
Crown Metropol Melbourne,"8 Whiteman Street, Southbank, 3006 Melbourne, Australia",-37.8234367,144.9580861,9.2,8.9
Studio# at Eporo,"285 La Trobe Street, 3000 Melbourne, Australia",-37.8107078,144.9608101,9.3,8.8
PARKROYAL Melbourne Airport,"Arrivals Drive, Tullamarine, 3042 Melbourne, Australia",-37.6721745,144.8503119,9.5,8.6
Wyndel Apartments - St Kilda Views,"470 St Kilda Road, 3004 Melbourne, Australia",-37.8412822,144.9765221,9.2,9.1
Wyndel Apartments - Southbank Views,"50 Haig Street, Southbank, Southbank, 3006 Melbourne, Australia",-37.826844,144.9568385,9.5,9.3
Best Western Melbourne Airport,"33 Ardlie Street, Attwood, Tullamarine, 3049 Melbourne, Australia",-37.673376,144.8876904,8.4,8.5
Ciloms Airport Lodge,"398 Melrose Drive, Tullamarine, Tullamarine, 3043 Melbourne, Australia",-37.686649,144.868447,8.7,8.2
Brilliant Victoria Harbour Waterfront,"883 Collins Street, Docklands, 3008 Melbourne, Australia",-37.8211211,144.9425286,9.3,8.8
Southbank Apartments 28 Southgate,"28 Southgate Avenue, Southbank, Southbank, 3006 Melbourne, Australia",-37.8206451,144.967594,9.5,8.8
Perfect Sea View Apartment,"677 La Trobe Street, Docklands, 3008 Melbourne, Australia",-37.8148083,144.9472522,9.5,8
AKOM Prahran,"33 Grattan street, Prahran, 3181 Melbourne, Australia",-37.8467911,144.9913888,9.1,8.8
Royal Stays Apartments - Clarendon St,"109 Clarendon Street, Southbank, 3006 Melbourne, Australia",-37.827753,144.9584141,9,8.1
Manhattan Apartment,"33 Rose Lane, 3000 Melbourne, Australia",-37.8150102,144.9540997,9.2,8.8
DoubleTree by Hilton Melbourne,"270 Flinders Street, 3000 Melbourne, Australia",-37.8177379,144.9653744,9.2,8.5
Mono Apartments on Franklin Street,"243-263 Franklin Street, 3000 Melbourne, Australia",-37.8095502,144.9566201,8.8,8.3
Melbourne Metropole Central,"44 Brunswick Street, Fitzroy, 3065 Melbourne, Australia",-37.8063366,144.9776409,9.1,8.5
Pride Fawkner Apartments,"499 Saint Kilda Road, 3004 Melbourne, Australia",-37.8431329,144.9793406,9.1,8.3
"Hazel, CBD Apartments","325 Collins Street, 3000 Melbourne, Australia",-37.8166442,144.9635498,9.8,9.2
Quality Hotel Batman's Hill on Collins,"623 Collins Street, 3000 Melbourne, Australia",-37.8192864,144.9547208,9.2,8.3
Mono Apartments on La Trobe Street,"315-327 La Trobe st, 3000 Melbourne, Australia",-37.8108745,144.9599591,9.4,8.6
Orange Stay Apartments,"889 Collins Street, Docklands, 3008 Melbourne, Australia",-37.8208882,144.9416138,8.8,8.3
Cloud9 Luxury Apartments,"241 City Road, Southbank, 3008 Melbourne, Australia",-37.8265171,144.960065,9.2,8.2
Mercure Melbourne Treasury Gardens,"13 Spring Street, 3000 Melbourne, Australia",-37.8147785,144.9743922,9,8.4
Rydges On Swanston,"701 Swanston St, Carlton, 3053 Melbourne, Australia",-37.8014616,144.9635498,8.6,8.1
Mantra Tullamarine Hotel,"Corner Melrose & Trade Park Drive, Tullamarine, Tullamarine, 3043 Melbourne, Australia",-37.6941166,144.8753914,8.5,8.4
Royal Stays Apartments Melbourne- Clarke St,"58 Clarke St, Southbank, 3108 Melbourne, Australia",-37.8278376,144.9593337,8.9,8.4
Melbourne Empire Apartments,"81 A'Beckett Street, 3000 Melbourne, Australia",-37.809322,144.961332,9.3,8.7
Mercure Melbourne Albert Park,"65 Queens Road, Albert Park, 3004 Melbourne, Australia",-37.8499725,144.9787643,8.4,8.2
Four Points by Sheraton Melbourne Docklands,"443 Docklands Drive , Docklands, 3008 Melbourne, Australia",-37.8150926,144.9380412,8.6,8.8
Stay Like Home,"108 Flinders Street, 3000 Melbourne, Australia",-37.81615,144.9711221,9.7,9.1
District South Yarra,"10 Claremont St, South Yarra, 3141 Melbourne, Australia",-37.8380283,144.9939723,9.2,8.8
Rendezvous Hotel Melbourne,"328 Flinders Street, 3000 Melbourne, Australia",-37.8182207,144.9634637,9.1,8.3
Quest Grand Hotel Melbourne,"33 Spencer Street, 3000 Melbourne, Australia",-37.8203554,144.9543865,9.3,8.8
Apartments @ 350 William,"350 William Street, 3000 Melbourne, Australia",-37.8112464,144.9566068,9.1,8.5
Causeway 353 Hotel,"353 Little Collins Street, 3000 Melbourne, Australia",-37.8155661,144.9629631,9.2,8.3
Atlantis Hotel Melbourne,"300 Spencer Street, 3000 Melbourne, Australia",-37.8136001,144.951956,9,8.5
Oaks On Lonsdale,"23 Lonsdale Street, 3000 Melbourne, Australia",-37.8098306,144.9714035,8.8,8.3
Garden Cottage St Kilda,"188 Barkly Street, 3182 Melbourne, Australia",-37.8690511,144.9809917,9.7,9.8
